id,osm_id,lat,lon
525,258199141,46.5367507,24.5529762
526,258199147,46.5392490,24.5528336
527,258199152,46.5431733,24.5510513
528,258199159,46.5475045,24.5490074
529,258199160,46.5461835,24.5496908
530,258199163,46.5344716,24.5515539
531,258199175,46.5326309,24.5514355
532,258199177,46.5330249,24.5517350
533,258199181,46.5330073,24.5511429
534,258199197,46.5519891,24.5630019
535,258199208,46.5522500,24.5633773
536,258199212,46.5512988,24.5656181
537,258199216,46.5484858,24.5583467
538,258199218,46.5478137,24.5588059
539,258199219,46.5475213,24.5591608
540,258199220,46.5473207,24.5590536
541,258199223,46.5474836,24.5608135
542,258199230,46.5522286,24.5586584
543,258199233,46.5513804,24.5654199
544,258199245,46.5588590,24.5739461
545,258199248,46.5575013,24.5752757
546,258199250,46.5561831,24.5765560
547,258199254,46.5556359,24.5766174
548,258199259,46.5554284,24.5766329
549,258199316,46.5583405,24.5825587
550,258199325,46.5596999,24.5808288
551,258199414,46.5493698,24.5536858
552,258199439,46.5473259,24.5597534
553,258199442,46.5464310,24.5589077
554,258668134,46.5148123,24.5172286
555,258668138,46.5145815,24.5177707
556,258668142,46.5148210,24.5177059
557,258668146,46.5148683,24.5178351
558,258668152,46.5147824,24.5181494
559,258668182,46.5129402,24.5177609
560,258668194,46.5131963,24.5182835
561,258668203,46.5138095,24.5195348
562,258668225,46.5241576,24.5178223
563,258668226,46.5247309,24.5172991
564,258668232,46.5307905,24.5308127
565,258668236,46.5368737,24.5405150
566,258668237,46.5308441,24.5388432
567,258668267,46.5268914,24.5379220
568,258668270,46.5261293,24.5365407
569,258668280,46.5216797,24.5292136
570,258668283,46.5256079,24.5370813
571,258668294,46.5316723,24.5466258
572,258668389,46.5460034,24.5519921
573,258668400,46.5534736,24.5580847
574,258668405,46.5541998,24.5565027
575,258668410,46.5550276,24.5581356
576,258668417,46.5550948,24.5587921
577,258668420,46.5553931,24.5588302
578,258668422,46.5557471,24.5594674
579,258668434,46.5562011,24.5603763
580,258668442,46.5566654,24.5611013
581,258668461,46.5556936,24.5618546
582,258668469,46.5548688,24.5610585
583,258668470,46.5574729,24.5648471
584,258668473,46.5582406,24.5658293
585,258668475,46.5600546,24.5674534
586,258668478,46.5584793,24.5660421
587,258668484,46.5574512,24.5640380
588,258668491,46.5576365,24.5646447
589,258668496,46.5602686,24.5681737
590,258668498,46.5606517,24.5684750
591,258668502,46.5551609,24.5688258
592,258668512,46.5564719,24.5700626
593,258668516,46.5589597,24.5737873
594,258668520,46.5590836,24.5732845
595,258668521,46.5596944,24.5746682
596,258668523,46.5602755,24.5763087
597,258668526,46.5603401,24.5761796
598,258668536,46.5580282,24.5660902
599,258668537,46.5574384,24.5672749
600,258668539,46.5576318,24.5674968
601,258668544,46.5574489,24.5678520
602,258668545,46.5560105,24.5658557
603,258668547,46.5536918,24.5623486
604,258668555,46.5534249,24.5617841
605,258668560,46.5531591,24.5606678
606,258668561,46.5531058,24.5602624
607,258668563,46.5529394,24.5606747
608,258668579,46.5521620,24.5607870
609,258668581,46.5530696,24.5606417
610,258668589,46.5507234,24.5556499
611,258668596,46.5510441,24.5556852
612,258668599,46.5394246,24.5503780
613,258668601,46.5396172,24.5501429
614,258668602,46.5395104,24.5497957
615,258668604,46.5383641,24.5477279
616,258668606,46.5403763,24.5523893
617,258668607,46.5374908,24.5528757
618,258668609,46.5368323,24.5462052
619,258668623,46.5439987,24.5526168
620,258668648,46.5405885,24.5548074
621,259069085,46.5369137,24.5461004
622,259069088,46.5410727,24.5544773
623,259069090,46.5274341,24.5550010
624,259069092,46.5264142,24.5567097
625,259069104,46.5252251,24.5536479
626,259069105,46.5253012,24.5535112
627,259069107,46.5254323,24.5541557
628,259069108,46.5266817,24.5562713
629,259069111,46.5263324,24.5566245
630,259069115,46.5269080,24.5578907
631,259069120,46.5280729,24.5587408
632,259069126,46.5277703,24.5588966
633,259069127,46.5292374,24.5599978
634,259069129,46.5291766,24.5597340
635,259069131,46.5299590,24.5605581
636,259069132,46.5302671,24.5600234
637,259069133,46.5313128,24.5587759
638,259069197,46.5417469,24.5756126
639,259069202,46.5390629,24.5768607
640,259846660,46.5464613,24.5517499
641,259846661,46.5457919,24.5502178
642,259846662,46.5462608,24.5499930
643,259846668,46.5455634,24.5522250
644,259846673,46.5482730,24.5579196
645,259846674,46.5474215,24.5585808
646,259846680,46.5516501,24.5572366
647,259846682,46.5491272,24.5613410
648,259846689,46.5533711,24.5645956
649,259846691,46.5535557,24.5644671
650,259846692,46.5537699,24.5656042
651,259846693,46.5537936,24.5640855
652,259846695,46.5541967,24.5648782
653,259846720,46.5474659,24.5714343
654,259846729,46.5403660,24.5701115
655,259846731,46.5407063,24.5715745
656,259846732,46.5433764,24.5720627
657,259846735,46.5405533,24.5807635
658,259846744,46.5441486,24.5745517
659,259846746,46.5449666,24.5765900
660,259846748,46.5451447,24.5771473
661,259846755,46.5435028,24.5790794
662,259846760,46.5405061,24.5831574
663,259846773,46.5363152,24.5965587
664,259846774,46.5362561,24.5954270
665,259846775,46.5363730,24.5958255
666,259846776,46.5361347,24.5959836
667,260695856,46.5479707,24.5586579
668,260695858,46.5486140,24.5596233
669,260695860,46.5494283,24.5620485
670,260695866,46.5540556,24.5590741
671,260695867,46.5565542,24.5616347
672,260695868,46.5566568,24.5617135
673,260695873,46.5570074,24.5621997
674,260695874,46.5572951,24.5615670
675,260695882,46.5578518,24.5630868
676,260695883,46.5574857,24.5624693
677,260695884,46.5530362,24.5572597
678,260695886,46.5532891,24.5569822
679,260695887,46.5530312,24.5564284
680,260695888,46.5435724,24.5508593
681,260695890,46.5445932,24.5490351
682,260695891,46.5428039,24.5455953
683,260695892,46.5408145,24.5423932
684,260695893,46.5412995,24.5389540
685,260695894,46.5429173,24.5394737
686,260695895,46.5431098,24.5380120
687,260695896,46.5425785,24.5418666
688,260695900,46.5422338,24.5427367
689,260695901,46.5408049,24.5445533
690,260695902,46.5405150,24.5445957
691,260695903,46.5399362,24.5452786
692,260695904,46.5415774,24.5436009
693,260695905,46.5344789,24.5536692
694,260695906,46.5261374,24.5509935
695,260695908,46.5273206,24.5552060
696,260695940,46.5302214,24.5578893
697,260695944,46.5288368,24.5606516
698,260695945,46.5287836,24.5606864
699,260695948,46.5279483,24.5601092
700,260695950,46.5278457,24.5602149
701,264766330,46.5554578,24.5724235
702,264766335,46.5557632,24.5718730
703,264766337,46.5553983,24.5730658
704,264766349,46.5562889,24.5697873
705,264766351,46.5565988,24.5691796
706,264766353,46.5551236,24.5677440
707,264766354,46.5301669,24.5958655
708,264766356,46.5306292,24.5965222
709,264977162,46.5449704,24.5571216
710,264977165,46.5506370,24.5581896
711,264977171,46.5548434,24.5692672
712,264977172,46.5556415,24.5709384
713,264977174,46.5560956,24.5704673
714,264977175,46.5560950,24.5718194
715,264977178,46.5559230,24.5701366
716,264977196,46.5555529,24.5762715
717,264977197,46.5448722,24.5552152
718,264977198,46.5449540,24.5525518
719,265127382,46.5606089,24.5821182
720,265127394,46.5597890,24.5833321
721,265127397,46.5591729,24.5842351
722,265127399,46.5600463,24.5837020
723,265127409,46.5609105,24.5822606
724,265127411,46.5600998,24.5810870
725,265127427,46.5608142,24.5824013
726,266019880,46.5289356,24.5510592
727,266019883,46.5292615,24.5508303
728,266019884,46.5306774,24.5491689
729,266019885,46.5258714,24.5481538
730,266019888,46.5266877,24.5498979
731,266019889,46.5273204,24.5492905
732,266019890,46.5258852,24.5506680
733,266019891,46.5272073,24.5490406
734,266019894,46.5382264,24.5549157
735,266019898,46.5404534,24.5526479
736,266019899,46.5414195,24.5530201
737,266019900,46.5416979,24.5542673
738,266019901,46.5445294,24.5507951
739,266019902,46.5435676,24.5518139
740,266019914,46.5558115,24.5626524
741,266019915,46.5547691,24.5648709
742,266019916,46.5541882,24.5661253
743,266019917,46.5537071,24.5668993
744,266019918,46.5533135,24.5664032
745,266019919,46.5578636,24.5715649
746,266019920,46.5564070,24.5731109
747,266019922,46.5531572,24.5666879
748,266019923,46.5472363,24.5760962
749,266019924,46.5479024,24.5746892
750,266019925,46.5480831,24.5758143
751,266019928,46.5482568,24.5779387
752,266019940,46.5498195,24.5845759
753,266019948,46.5533284,24.5795604
754,266019949,46.5539219,24.5781198
755,266019950,46.5538150,24.5801054
756,266192833,46.5393475,24.5656752
757,266192834,46.5395996,24.5656186
758,266192835,46.5399126,24.5668654
759,266192836,46.5388219,24.5656547
760,266192837,46.5395434,24.5649954
761,266192854,46.5459539,24.5582955
762,266192855,46.5454876,24.5606399
763,266192856,46.5456633,24.5588427
764,266192862,46.5468090,24.5592351
765,266192863,46.5466197,24.5597097
766,266192870,46.5296338,24.5427337
767,266192871,46.5290643,24.5433151
768,266192875,46.5280779,24.5402877
769,266192877,46.5246720,24.5352357
770,266192878,46.5242598,24.5343915
771,266192880,46.5221393,24.5319635
772,266192882,46.5205161,24.5339083
773,266192886,46.5221976,24.5376268
