id,coords
71,45.686480:21.907333 45.686496:21.907410 45.686534:21.907601 45.686575:21.907782 45.686635:21.908014 45.686768:21.908464 45.686858:21.908742 45.687002:21.909139 45.687045:21.909281 45.687080:21.909433 45.687100:21.909553 45.687115:21.909698 45.687127:21.909857 45.687135:21.910059 45.687141:21.910231 45.687142:21.910281 45.687148:21.910403 45.687159:21.910504 45.687180:21.910615 45.687213:21.910738 45.687273:21.910885 45.687378:21.911084 45.687505:21.911320 45.687578:21.911424 45.687650:21.911520 45.687818:21.911722 45.687993:21.911912 45.688070:21.911985 45.688124:21.912027 45.688186:21.912066 45.688246:21.912094 45.688291:21.912109 45.688353:21.912122 45.688436:21.912132 45.688515:21.912129 45.688601:21.912130 45.688674:21.912138 45.688746:21.912150
72,45.790151:24.164286 45.790192:24.164254 45.790227:24.164219 45.790323:24.164123 45.790431:24.164012 45.790583:24.163845 45.792184:24.162015 45.792252:24.161933 45.792529:24.161583 45.793008:24.160981 45.793206:24.160752
73,45.796574:24.159158 45.796706:24.159045 45.796998:24.158747 45.797872:24.158113
74,45.801660:24.156928 45.801750:24.156891 45.801919:24.156796 45.802141:24.156728 45.802374:24.156622 45.802468:24.156576 45.802690:24.156454 45.802753:24.156427 45.802872:24.156393 45.802894:24.156387 45.802932:24.156374 45.802972:24.156355 45.803011:24.156332 45.803212:24.156144 45.803398:24.155958 45.803443:24.155903 45.803480:24.155845 45.803512:24.155752 45.803534:24.155662 45.803562:24.155500 45.803600:24.155213 45.803632:24.154993 45.803666:24.154753 45.803675:24.154674 45.803681:24.154574 45.803683:24.154494 45.803686:24.154236 45.803682:24.153917 45.803657:24.152608 45.803656:24.152476 45.803651:24.152124 45.803655:24.152049 45.803664:24.152006 45.803680:24.151945 45.803708:24.151884 45.803750:24.151805 45.803812:24.151733
75,45.777199:24.172059 45.777577:24.171704 45.777804:24.171496 45.778039:24.171257 45.778197:24.171096 45.778481:24.170841
76,45.776116:24.172771 45.776112:24.172831 45.776119:24.172890 45.776134:24.172945 45.776158:24.172993 45.776190:24.173032
77,45.776190:24.173032 45.776208:24.173048 45.776248:24.173069 45.776291:24.173076 45.776334:24.173067 45.776374:24.173044
78,45.776464:24.172865 45.776505:24.172781 45.776544:24.172714 45.776574:24.172663 45.776629:24.172593 45.776694:24.172522 45.776769:24.172447 45.776885:24.172341 45.777003:24.172238 45.777199:24.172059
79,45.777159:24.171986 45.776976:24.172153 45.776800:24.172303 45.776504:24.172549 45.776458:24.172583 45.776396:24.172621
80,45.776116:24.172771 45.776051:24.172880 45.775992:24.172968 45.775920:24.173062 45.775861:24.173132 45.775800:24.173198 45.775224:24.173765
81,45.775534:24.173565 45.775766:24.173350 45.776004:24.173141 45.776064:24.173097 45.776109:24.173070 45.776190:24.173032
82,45.792934:24.133391 45.793019:24.133057 45.793084:24.132906
83,45.845983:23.832835 45.845880:23.833054 45.845734:23.833352 45.845596:23.833622 45.845537:23.833731 45.845443:23.833891 45.845262:23.834170 45.845090:23.834411 45.844912:23.834624 45.844714:23.834837 45.844550:23.834998 45.844347:23.835180 45.843878:23.835583 45.843157:23.836084 45.842769:23.836419 45.842344:23.836968 45.841718:23.837657 45.840531:23.838804
84,45.786169:24.162400 45.786520:24.162647 45.787185:24.162962 45.787273:24.163002 45.788561:24.163608 45.788629:24.163637
85,45.782419:24.167639 45.782990:24.168701 45.783029:24.168774 45.783193:24.169094 45.783302:24.169304 45.783629:24.169931 45.783749:24.170157 45.783866:24.170374 45.783986:24.170604 45.784096:24.170814 45.784476:24.171534 45.784693:24.171928
86,45.602476:24.614009 45.602623:24.613923 45.602703:24.613878 45.602751:24.613853 45.602815:24.613827 45.602866:24.613809 45.602939:24.613787 45.603067:24.613755 45.603166:24.613737 45.603302:24.613728 45.603421:24.613727 45.603580:24.613727 45.603737:24.613727 45.603839:24.613727 45.604019:24.613726 45.604187:24.613725 45.604336:24.613720 45.604493:24.613715 45.604626:24.613708 45.604707:24.613702 45.604782:24.613696 45.604872:24.613690 45.604954:24.613688 45.605002:24.613694 45.605049:24.613715 45.605079:24.613741 45.605111:24.613787 45.605140:24.613851 45.605171:24.613949 45.605264:24.614251 45.605315:24.614415 45.605341:24.614537 45.605353:24.614634 45.605358:24.614742 45.605353:24.614863 45.605331:24.615008 45.605294:24.615151 45.605194:24.615476 45.605155:24.615619 45.605142:24.615723 45.605140:24.615830 45.605157:24.615929 45.605195:24.616022 45.605250:24.616117 45.605308:24.616205 45.605491:24.616478 45.605584:24.616632 45.605640:24.616729 45.605683:24.616810 45.605717:24.616883 45.605742:24.616948 45.605762:24.617028 45.605778:24.617110 45.605790:24.617199 45.605819:24.617464 45.605856:24.617733 45.605887:24.617929 45.605930:24.618173 45.605983:24.618439 45.606044:24.618716 45.606099:24.618965 45.606128:24.619106 45.606149:24.619222 45.606161:24.619301
87,45.817944:24.839110 45.817920:24.838975 45.817889:24.838832 45.817858:24.838708 45.817803:24.838523 45.817755:24.838383 45.817705:24.838261 45.817654:24.838142 45.817601:24.838021 45.817360:24.837477 45.817135:24.836951 45.817061:24.836778 45.816750:24.836071 45.816600:24.835724 45.816402:24.835227
88,45.700486:24.249192 45.700533:24.249260 45.700568:24.249317 45.700604:24.249403 45.700621:24.249464 45.700631:24.249533 45.700635:24.249618
89,45.699852:24.248604 45.699935:24.248595 45.700001:24.248599 45.700055:24.248616 45.700110:24.248656 45.700147:24.248700 45.700175:24.248737 45.700221:24.248806
90,45.700858:24.248672 45.700915:24.248466 45.700967:24.248309 45.701030:24.248172 45.701093:24.248075 45.701147:24.248003 45.701214:24.247930 45.701335:24.247823 45.701438:24.247749 45.701461:24.247733
91,45.700635:24.249618 45.700674:24.249426 45.700705:24.249278 45.700720:24.249196 45.700738:24.249103
92,45.701461:24.247733 45.701532:24.247693 45.701591:24.247660 45.701737:24.247585 45.702067:24.247417 45.702593:24.247166 45.703054:24.246972
93,45.658505:24.264448 45.658771:24.264393
94,45.793966:24.133135 45.794025:24.133178 45.794450:24.133483 45.794528:24.133557 45.794547:24.133576 45.794681:24.133747 45.794779:24.133886 45.795396:24.135069 45.795432:24.135165 45.795486:24.135309 45.795545:24.135569 45.795620:24.135924 45.795880:24.137177 45.795927:24.137407 45.796129:24.138391 45.796284:24.139307 45.796291:24.139337 45.796325:24.139516 45.796343:24.139627 45.796357:24.139705 45.796361:24.139723 45.796425:24.140084 45.796460:24.140283 45.796493:24.140494 45.796560:24.140829 45.796599:24.140987 45.796616:24.141054 45.796686:24.141272 45.796817:24.141555 45.796854:24.141633 45.796934:24.141763 45.797024:24.141894 45.797517:24.142437 45.798116:24.143033 45.798712:24.143559
95,44.433798:26.085139 44.433841:26.084453 44.433853:26.084290
96,44.433085:26.089758 44.433062:26.090112
97,44.438429:26.116314 44.438384:26.116189 44.438319:26.116082 44.438237:26.116000 44.438144:26.115948 44.438105:26.115932 44.438073:26.115925
98,44.456001:26.061569 44.455730:26.061780 44.455662:26.061838 44.455363:26.062149 44.455124:26.062513
99,44.457222:26.060853 44.456851:26.060972 44.456481:26.061249
100,44.456267:26.064025 44.455491:26.062006
101,44.454160:26.058302 44.454220:26.058610 44.454283:26.058895 44.454351:26.059176 44.454445:26.059534 44.454545:26.059860 44.455137:26.061442
102,44.454066:26.057638 44.454047:26.057762 44.454027:26.057835 44.453997:26.057897 44.453947:26.057961 44.453820:26.058092
103,44.454647:26.059732 44.454644:26.059604 44.454656:26.059516 44.454676:26.059450 44.454717:26.059378 44.454776:26.059310 44.454834:26.059250 44.454877:26.059163
104,44.453676:26.053179 44.453654:26.053398 44.453657:26.053487 44.453703:26.054074 44.453833:26.055635 44.453845:26.055851 44.453852:26.056058 44.453857:26.056202 44.453859:26.056337
